Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,1,Female,Sales Executive,4,Single,5993,Yes,8,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,2,Male,Research Scientist,2,Married,5130,No,10,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,4,Male,Laboratory Technician,3,Single,2090,Yes,7,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,5,Female,Research Scientist,3,Married,2909,Yes,8,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,7,Male,Laboratory Technician,2,Married,3468,No,6,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,8,Male,Laboratory Technician,4,Single,3068,No,8,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,10,Female,Laboratory Technician,1,Married,2670,Yes,12,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,11,Male,Laboratory Technician,3,Divorced,2693,No,1,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,12,Male,Manufacturing Director,3,Single,9526,No,10,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,13,Male,Healthcare Representative,3,Married,5237,No,17,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,14,Male,Laboratory Technician,2,Married,2426,No,6,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,15,Female,Laboratory Technician,3,Single,4193,Yes,10,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,16,Male,Research Scientist,3,Divorced,2911,No,5,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,18,Male,Laboratory Technician,4,Divorced,2661,No,3,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,19,Male,Laboratory Technician,3,Single,2028,Yes,6,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,20,Female,Manufacturing Director,1,Divorced,9980,No,10,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,21,Male,Research Scientist,2,Divorced,3298,Yes,7,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,22,Male,Laboratory Technician,4,Divorced,2935,Yes,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,23,Female,Manager,4,Married,15427,No,31,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,24,Male,Research Scientist,4,Single,3944,Yes,6,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,26,Female,Manufacturing Director,3,Divorced,4011,No,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,27,Male,Sales Representative,1,Single,3407,No,10,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,28,Female,Research Director,2,Single,11994,No,13,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,30,Male,Research Scientist,4,Single,1232,No,0,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,31,Male,Research Scientist,1,Single,2960,No,8,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,32,Female,Manager,3,Divorced,19094,No,26,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,33,Female,Research Scientist,1,Single,3919,Yes,10,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,35,Male,Sales Executive,2,Married,6825,No,10,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,36,Female,Healthcare Representative,4,Married,10248,No,24,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,38,Female,Manager,1,Single,18947,No,22,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,39,Male,Laboratory Technician,4,Single,2496,No,7,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,40,Male,Healthcare Representative,4,Married,6465,Yes,9,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,41,Male,Laboratory Technician,3,Single,2206,No,10,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,42,Male,Sales Representative,4,Married,2086,No,19,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,45,Male,Research Scientist,4,Married,2293,Yes,6,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,46,Female,Research Scientist,3,Divorced,2645,No,6,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,47,Male,Sales Representative,3,Married,2683,Yes,3,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,49,Female,Sales Representative,4,Married,2014,No,2,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,51,Female,Research Scientist,1,Married,3419,Yes,6,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,52,Female,Sales Executive,1,Married,5376,No,10,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,53,Male,Laboratory Technician,4,Divorced,1951,No,1,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,54,Female,Laboratory Technician,1,Divorced,2341,No,1,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,55,Male,Laboratory Technician,3,Single,2293,No,1,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,56,Male,Sales Executive,3,Single,8726,No,9,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,57,Female,Laboratory Technician,4,Single,4011,No,12,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,58,Female,Research Director,3,Married,19545,No,23,3,22,15,15,8
34,No,Non-Travel,Sales,23,60,Male,Sales Executive,3,Single,4568,No,10,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,61,Male,Research Scientist,2,Married,3022,No,8,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,62,Male,Sales Executive,4,Single,5772,Yes,14,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,63,Male,Laboratory Technician,4,Married,2269,No,1,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,64,Male,Laboratory Technician,3,Single,5381,Yes,23,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,65,Male,Laboratory Technician,3,Single,3441,Yes,2,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,68,Female,Sales Executive,1,Divorced,5454,Yes,9,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,70,Male,Healthcare Representative,1,Married,9884,Yes,10,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,72,Female,Sales Executive,4,Married,4157,Yes,5,2,2,2,0,0
